ACCOUNT_RK;INTERNAL_ORG_ORIGINAL_RK;LOAN_AMOUNT;APPLICATION_DT
-60183009;12939;76000.00;2017-01-11 00:00:00
-60183056;12939;76102.98;2017-01-11 00:00:00
-61287705;15765;100000.00;2017-02-26 00:00:00
-61206082;22125;20000.00;2017-02-17 00:00:00
31003832;22125;20000.00;2017-02-17 00:00:00
-61433014;59227;20000.00;2017-03-09 00:00:00
31207703;59227;10000.00;2017-03-09 00:00:00
-61432828;59227;20000.00;2017-03-09 00:00:00
-61460512;141;100000.00;2017-03-11 00:00:00
-61172446;4427;15000.00;2017-02-15 00:00:00
-61548765;34290;73100.00;2017-03-18 00:00:00
31322211;34290;69349.76;2017-03-18 00:00:00
-61195938;18650;45000.00;2017-02-17 00:00:00
-61195902;18650;45000.00;2017-02-17 00:00:00
-61195976;18650;45000.00;2017-02-17 00:00:00
-61482348;50433;100000.00;2017-03-13 00:00:00
31254828;49025;40001.00;2017-03-13 00:00:00
-61473383;49025;40001.00;2017-03-13 00:00:00
31255224;49025;0.10;2017-03-13 00:00:00
-60263326;15399;205000.00;2017-01-18 00:00:00
-60263493;15399;245130.03;2017-01-18 00:00:00
31230672;4156;55600.00;2017-03-11 00:00:00
-61455768;4156;55600.00;2017-03-11 00:00:00
-60207823;46726;36000.00;2017-01-13 00:00:00
-60207683;46726;40000.00;2017-01-13 00:00:00
31292679;89;4999.00;2017-03-16 00:00:00
-61520650;89;75000.00;2017-03-16 00:00:00
31292765;89;0.10;2017-03-16 00:00:00
-60210141;18198;10000.00;2017-01-13 00:00:00
30084540;18198;10000.00;2017-01-13 00:00:00
-61450655;30860;304268.08;2017-03-10 00:00:00
-60415920;13771;100000.00;2017-02-01 00:00:00
31255569;35036;40000.00;2017-03-13 00:00:00
-61475934;35036;30000.00;2017-03-13 00:00:00
31255758;35036;0.10;2017-03-13 00:00:00
-60713468;22479;10000.00;2017-02-09 00:00:00
-60713388;22479;20000.00;2017-02-09 00:00:00
30105236;22662;10000.00;2017-01-16 00:00:00
-60398727;50803;40001.00;2017-01-30 00:00:00
-60270283;118;100000.00;2017-01-19 00:00:00
31102574;4223;15000.00;2017-02-28 00:00:00
-61315270;4223;15000.00;2017-02-28 00:00:00
-60176858;50890;20000.00;2017-01-10 00:00:00
-61382401;59562;495000.00;2017-03-04 00:00:00
-61655404;30830;30000.00;2017-03-26 00:00:00
-61655466;30830;30000.00;2017-03-26 00:00:00
30014787;30830;0.10;2017-01-03 00:00:00
-60144339;30830;40000.00;2017-01-03 00:00:00
30014775;30830;40000.00;2017-01-03 00:00:00
-60144372;30830;0.10;2017-01-03 00:00:00
-60192744;15945;40000.00;2017-01-11 00:00:00
30062267;15945;40000.00;2017-01-11 00:00:00
30323125;53312;10000.00;2017-02-03 00:00:00
-60444650;53312;10000.00;2017-02-03 00:00:00
31102837;49587;64940.00;2017-02-28 00:00:00
-61314969;49587;50000.00;2017-02-28 00:00:00
-60216463;16014;1920000.00;2017-01-14 00:00:00
-60216440;16014;2200000.00;2017-01-14 00:00:00
-60903684;16014;1193828.72;2017-02-11 00:00:00
-60904454;16014;1193828.72;2017-02-11 00:00:00
-60708261;16014;1193828.72;2017-02-06 00:00:00
-61407606;16014;1193828.72;2017-02-10 00:00:00
-60425440;16014;2050211.70;2017-01-14 00:00:00
30408264;16014;1193828.72;2017-02-11 00:00:00
-60332655;51869;78098.72;2017-01-25 00:00:00
-60332583;51869;50000.00;2017-01-25 00:00:00
-60260595;4365;30000.00;2017-01-18 00:00:00
-60408179;15423;4999.00;2017-01-31 00:00:00
-60301258;49760;50000.00;2017-01-22 00:00:00
-60399747;18188;150000.00;2017-01-30 00:00:00
-61485127;22662;135000.00;2017-03-14 00:00:00
-61184143;22222;91536.72;2017-02-16 00:00:00
-61183926;22222;63600.00;2017-02-16 00:00:00
-61389938;-1;760801.14;2017-03-06 00:00:00
-61249500;1568;194282.37;2017-02-21 00:00:00
-61252432;1568;193329.66;2017-02-21 00:00:00
-61246890;1568;257000.00;2017-02-21 00:00:00
-60420605;114;103378.13;2017-02-01 00:00:00
-60420413;114;103378.13;2017-02-01 00:00:00
-60420065;114;107000.00;2017-02-01 00:00:00
-60702546;51159;250000.00;2017-02-08 00:00:00
-60702838;51159;316455.70;2017-02-08 00:00:00
-61336499;4161;375000.00;2017-03-01 00:00:00
-61339543;4161;358040.79;2017-03-01 00:00:00
-61337335;4161;358040.79;2017-03-01 00:00:00
-61338692;4161;358040.79;2017-03-01 00:00:00
31108807;4161;315889.22;2017-03-01 00:00:00
-61102470;-1;800580.62;2017-01-27 00:00:00
-60263309;34909;15000.00;2017-01-18 00:00:00
30136041;34909;15000.00;2017-01-18 00:00:00
-60263220;34909;15000.00;2017-01-18 00:00:00
-60263095;34909;15000.00;2017-01-18 00:00:00
-60907502;50902;40000.00;2017-02-11 00:00:00
-61207951;46771;139970.00;2017-02-17 00:00:00
-61207852;46771;139970.00;2017-02-17 00:00:00
-60327941;58194;76000.00;2017-01-24 00:00:00
-61437426;57845;245188.34;2017-03-09 00:00:00
31162153;34881;200000.00;2017-02-27 00:00:00
31162250;34881;0.10;2017-03-04 00:00:00
-61290316;34881;350454.44;2017-02-25 00:00:00
-61284731;34881;300000.00;2017-02-25 00:00:00
-61385626;50840;22637.00;2017-03-05 00:00:00
-61502320;50840;11377.00;2017-03-15 00:00:00
-60441558;13510;50000.00;2017-02-03 00:00:00
-60257308;50344;193000.00;2017-01-18 00:00:00
-61198006;57854;150000.00;2017-02-17 00:00:00
31001653;57854;0.10;2017-02-17 00:00:00
31001624;57854;3999.00;2017-02-17 00:00:00
-60181230;34576;9189.00;2017-01-10 00:00:00
-60408636;50415;198000.00;2017-01-31 00:00:00
-61179381;56803;252736.60;2017-02-15 00:00:00
-61179963;56803;245153.93;2017-02-14 00:00:00
-60266957;57884;1000000.00;2017-01-19 00:00:00
30136264;52693;4999.00;2017-01-18 00:00:00
30136278;52693;0.10;2017-01-18 00:00:00
-61141957;22670;70000.00;2017-02-13 00:00:00
-61100172;-1;429000.00;2017-01-25 00:00:00
-60256960;34306;110100.00;2017-01-18 00:00:00
-60258528;34306;104745.57;2017-01-18 00:00:00
-61406467;47012;40000.00;2017-03-06 00:00:00
-60314434;50258;30000.00;2017-01-23 00:00:00
-61135747;-1;176756.99;2017-02-07 00:00:00
-61336571;46272;600000.00;2017-03-01 00:00:00
-61337384;46272;654467.02;2017-03-01 00:00:00
-61102444;-1;801116.57;2017-01-27 00:00:00
-60341855;49779;150000.00;2017-01-25 00:00:00
-61237660;14121;75000.00;2017-02-20 00:00:00
-60258666;22456;190264.80;2017-01-18 00:00:00
-60258189;22456;195000.00;2017-01-18 00:00:00
-61505216;58107;30000.00;2017-03-15 00:00:00
31275544;58107;0.10;2017-03-15 00:00:00
31275375;58107;4999.00;2017-03-15 00:00:00
-61506166;58107;46832.09;2017-03-15 00:00:00
-61132521;53836;747990.17;2017-02-08 00:00:00
-60152594;49279;200000.00;2017-01-05 00:00:00
-61200840;46231;100000.00;2017-02-17 00:00:00
31003508;46231;100000.00;2017-02-17 00:00:00
-61405826;49279;50000.00;2017-03-06 00:00:00
-60328828;50359;135802.76;2017-01-24 00:00:00
-60328524;50359;140000.00;2017-01-24 00:00:00
-61135403;55807;558830.46;2017-02-11 00:00:00
-61094400;-1;1070532.11;2017-01-19 00:00:00
31054509;58043;0.10;2017-02-22 00:00:00
-61260165;58043;100000.00;2017-02-22 00:00:00
31054481;58043;3999.00;2017-02-22 00:00:00
-60232263;13473;15000.00;2017-01-16 00:00:00
30106732;13473;15000.00;2017-01-16 00:00:00
-60191139;51892;100000.00;2017-01-11 00:00:00
30107987;50870;10000.00;2017-01-16 00:00:00
-60236609;50870;10000.00;2017-01-16 00:00:00
31257229;59225;20000.00;2017-03-13 00:00:00
-61480973;59225;20000.00;2017-03-13 00:00:00
-60427151;46306;649998.83;2017-02-01 00:00:00
-60402699;46306;550000.00;2017-01-31 00:00:00
-60258541;52822;60000.00;2017-01-18 00:00:00
-60258732;52822;3999.00;2017-01-18 00:00:00
-61653021;50471;50000.00;2017-03-26 00:00:00
-61653069;50471;61930.68;2017-03-26 00:00:00
-61342500;34908;15000.00;2017-03-01 00:00:00
31109596;34908;15000.00;2017-03-01 00:00:00
-61268028;50334;100000.00;2017-02-22 00:00:00
-61193389;50902;230000.00;2017-02-16 00:00:00
-60478689;49340;85000.00;2017-02-07 00:00:00
-60478029;49340;85000.00;2017-02-07 00:00:00
-61370746;47025;76102.98;2017-03-03 00:00:00
-61370431;47025;77000.00;2017-03-03 00:00:00
-60188058;34706;40000.00;2017-01-11 00:00:00
-61356474;51035;900000.00;2017-03-02 00:00:00
-61381206;50457;100000.00;2017-03-04 00:00:00
31026973;50369;10000.00;2017-02-18 00:00:00
-61214311;50369;10000.00;2017-02-18 00:00:00
-61522216;1553;3999.00;2017-03-16 00:00:00
31293323;1553;0.10;2017-03-16 00:00:00
31293277;1553;3999.00;2017-03-16 00:00:00
-61097851;-1;768981.69;2017-01-23 00:00:00
-61103698;-1;691325.00;2017-01-31 00:00:00
-61149311;49540;139000.00;2017-02-13 00:00:00
-61149667;49540;138440.95;2017-02-13 00:00:00
-60318309;13795;20000.00;2017-01-24 00:00:00
-60246669;47041;300000.00;2017-01-17 00:00:00
-60357194;51882;55000.00;2017-01-26 00:00:00
-61381278;4917;1500000.00;2017-03-04 00:00:00
-61409139;4917;1595744.68;2017-03-04 00:00:00
-61420945;50899;15000.00;2017-03-07 00:00:00
30397651;52861;0.10;2017-02-10 00:00:00
-60715777;52861;150000.00;2017-02-09 00:00:00
30397422;52861;195000.00;2017-02-09 00:00:00
-60180150;46494;350000.00;2017-01-10 00:00:00
-61101449;61865;1287000.00;2017-01-26 00:00:00
-61101655;61865;1212000.00;2017-01-26 00:00:00
-61310111;-1;539101.35;2017-02-27 00:00:00
-61387950;-1;900000.00;2017-03-05 00:00:00
-61512300;50403;35000.00;2017-03-15 00:00:00
-61315822;50470;60000.00;2017-02-28 00:00:00
-60289848;59224;200000.00;2017-01-20 00:00:00
30319115;50412;146756.86;2017-01-31 00:00:00
-60407308;50412;140000.00;2017-01-31 00:00:00
30319202;50412;0.10;2017-02-02 00:00:00
-60407686;50412;146756.86;2017-01-31 00:00:00
-61177174;46271;151003.77;2017-02-15 00:00:00
-61177735;46271;135300.25;2017-02-15 00:00:00
-61176224;46271;100000.00;2017-02-15 00:00:00
-61585336;51179;200000.00;2017-03-21 00:00:00
-61239768;34871;100000.00;2017-02-20 00:00:00
-61563123;50637;520000.00;2017-03-20 00:00:00
-60894520;32378;150000.00;2017-02-10 00:00:00
-60895113;32378;144722.36;2017-02-10 00:00:00
-60895345;32378;324679.79;2017-02-10 00:00:00
-61308765;61821;530370.70;2017-02-22 00:00:00
-60298168;42107;100000.00;2017-01-21 00:00:00
-60175550;52882;105400.00;2017-01-10 00:00:00
-61286140;4921;74000.00;2017-02-25 00:00:00
-61333810;12939;76000.00;2017-03-01 00:00:00
-61334321;12939;75437.73;2017-03-01 00:00:00
-60233592;50788;20200.00;2017-01-16 00:00:00
-61647918;59552;60000.00;2017-03-25 00:00:00
-61635631;59552;60000.00;2017-03-24 00:00:00
-61266395;12712;304000.00;2017-02-22 00:00:00
31056589;12712;8999.00;2017-02-22 00:00:00
-61467207;132;3999.00;2017-03-12 00:00:00
-61467224;132;3999.00;2017-03-12 00:00:00
31240310;132;3999.00;2017-03-12 00:00:00
31240314;132;0.10;2017-03-12 00:00:00
-61430688;50791;138000.00;2017-03-09 00:00:00
-61459921;50791;15000.00;2017-03-11 00:00:00
31231878;50791;138440.95;2017-03-11 00:00:00
-61436221;50791;138440.95;2017-03-09 00:00:00
31231950;50791;0.10;2017-03-11 00:00:00
31232093;50791;15000.00;2017-03-11 00:00:00
-61415079;15640;60000.00;2017-03-07 00:00:00
-61414767;15640;60000.00;2017-03-07 00:00:00
-60169592;47899;60000.00;2017-01-09 00:00:00
-61422006;4655;30000.00;2017-03-07 00:00:00
-61422165;4655;30000.00;2017-03-07 00:00:00
31183227;4655;30000.00;2017-03-07 00:00:00
-60312734;50475;15000.00;2017-01-23 00:00:00
30202955;50475;60000.00;2017-01-23 00:00:00
-61548563;51047;299999.00;2017-03-18 00:00:00
-60289327;4861;60000.00;2017-01-20 00:00:00
-60288853;4861;60000.00;2017-01-20 00:00:00
-60404960;4861;60000.00;2017-01-31 00:00:00
-60289310;4861;60000.00;2017-01-20 00:00:00
-60404624;4861;60000.00;2017-01-31 00:00:00
-60321412;4861;60000.00;2017-01-24 00:00:00
-60399420;46406;60000.00;2017-01-30 00:00:00
-60360122;4861;60000.00;2017-01-26 00:00:00
-60289056;4861;60000.00;2017-01-20 00:00:00
-60165933;52893;10000.00;2017-01-09 00:00:00
30160821;47419;10000.00;2017-01-20 00:00:00
-60285980;47419;10000.00;2017-01-20 00:00:00
-60192911;4923;60000.00;2017-01-11 00:00:00
-61298119;50815;39900.00;2017-02-27 00:00:00
-61283985;51855;25000.00;2017-02-25 00:00:00
-61290310;51855;39900.00;2017-02-25 00:00:00
-60203106;46801;60000.00;2017-01-12 00:00:00
30074085;46801;60000.00;2017-01-12 00:00:00
-60357887;57841;76770.56;2017-01-26 00:00:00
31162268;16154;30000.00;2017-03-04 00:00:00
-61376773;16154;30000.00;2017-03-04 00:00:00
-60246958;49976;15000.00;2017-01-17 00:00:00
30110477;49976;15000.00;2017-01-17 00:00:00
-60247131;49976;15000.00;2017-01-17 00:00:00
30976167;4341;57593.67;2017-02-15 00:00:00
-61167689;4341;41500.00;2017-02-15 00:00:00
31289166;49201;20000.00;2017-03-10 00:00:00
-60243198;15630;150000.00;2017-01-17 00:00:00
-61488086;12848;700000.00;2017-03-14 00:00:00
-61584179;12848;586764.23;2017-03-21 00:00:00
-61613306;34877;30000.00;2017-03-23 00:00:00
-61171945;5170;10000.00;2017-02-15 00:00:00
30977529;5170;10000.00;2017-02-15 00:00:00
-60272062;32367;200000.00;2017-01-19 00:00:00
-60272413;32367;239299.13;2017-01-19 00:00:00
-61284182;5121;150000.00;2017-02-25 00:00:00
31103640;58723;20000.00;2017-02-28 00:00:00
31170076;58723;175809.23;2017-02-28 00:00:00
-61316102;58723;192716.69;2017-02-28 00:00:00
-61312936;58723;192716.69;2017-02-28 00:00:00
-61312613;58723;200000.00;2017-02-28 00:00:00
-61607970;46809;299999.00;2017-03-22 00:00:00
31378641;46809;298432.71;2017-03-22 00:00:00
-61452391;47311;150000.00;2017-03-10 00:00:00
-61581696;47111;30000.00;2017-03-21 00:00:00
-60172372;15258;120000.00;2017-01-10 00:00:00
30056423;15258;3999.00;2017-01-10 00:00:00
-60172573;15258;120009.31;2017-01-10 00:00:00
-61301139;46272;100000.00;2017-02-27 00:00:00
31331850;113;58082.43;2017-03-19 00:00:00
-61558667;113;58500.00;2017-03-19 00:00:00
-60396897;51159;490000.00;2017-01-30 00:00:00
-60266622;58723;100000.00;2017-01-19 00:00:00
-60266717;58723;110378.48;2017-01-19 00:00:00
-60266703;58723;110378.48;2017-01-19 00:00:00
-60232696;49616;64940.00;2017-01-16 00:00:00
30106763;49616;20000.00;2017-01-16 00:00:00
-60232442;49616;50000.00;2017-01-16 00:00:00
30295855;47837;0.10;2017-01-31 00:00:00
30295797;47837;310000.00;2017-01-30 00:00:00
-60395532;47837;310000.00;2017-01-30 00:00:00
-60396309;47837;310000.00;2017-01-30 00:00:00
31102692;14116;20000.00;2017-02-28 00:00:00
31145186;14116;23451.76;2017-02-28 00:00:00
-60214982;52707;830000.00;2017-01-13 00:00:00
-60215429;52707;976470.59;2017-01-13 00:00:00
-61219811;14448;108000.00;2017-02-19 00:00:00
31022704;14448;107213.92;2017-02-19 00:00:00
31022722;14448;20000.00;2017-02-19 00:00:00
-61587387;12723;460000.00;2017-03-21 00:00:00
-61393452;46264;300000.00;2017-03-06 00:00:00
-60158784;19649;39876.83;2017-01-08 00:00:00
-60158732;19649;40000.00;2017-01-08 00:00:00
30032585;19649;10000.00;2017-01-08 00:00:00
-61396970;58859;35000.00;2017-03-06 00:00:00
-61409346;58859;51462.20;2017-03-06 00:00:00
-61368688;58859;35000.00;2017-03-03 00:00:00
-61456367;1529;10000.00;2017-03-11 00:00:00
31230881;1529;10000.00;2017-03-11 00:00:00
-61332400;51896;40000.00;2017-03-01 00:00:00
31106713;51896;39998.78;2017-03-01 00:00:00
-61319919;70;192000.00;2017-02-28 00:00:00
31239993;16075;40758.23;2017-03-12 00:00:00
31240053;16075;0.10;2017-03-12 00:00:00
-61465973;16075;41000.00;2017-03-12 00:00:00
-60374566;14682;100000.00;2017-01-28 00:00:00
-61202544;35049;60000.00;2017-02-17 00:00:00
-60184129;4980;35000.00;2017-01-11 00:00:00
-61402410;12175;200000.00;2017-03-06 00:00:00
-61402787;12175;199949.74;2017-03-06 00:00:00
30268384;4209;40000.00;2017-01-28 00:00:00
-60374994;4209;70000.00;2017-01-28 00:00:00
-60375057;4209;72403.80;2017-01-28 00:00:00
31174642;59541;4369.78;2017-03-06 00:00:00
-61394066;59541;4400.00;2017-03-06 00:00:00
-60698236;18966;40000.00;2017-02-08 00:00:00
-60403294;34165;50000.00;2017-01-31 00:00:00
30026625;58004;49669.41;2017-01-06 00:00:00
-60156076;58004;26600.00;2017-01-06 00:00:00
-60227111;51882;176470.59;2017-01-12 00:00:00
-60201328;51882;151000.00;2017-01-12 00:00:00
-61607240;57819;72000.00;2017-03-22 00:00:00
-61323301;12914;200000.00;2017-02-28 00:00:00
-61329044;12914;239299.13;2017-02-28 00:00:00
-60409537;32453;175000.00;2017-01-31 00:00:00
-60700649;49539;98300.00;2017-02-08 00:00:00
30375585;49539;0.10;2017-02-08 00:00:00
-60701326;49539;98300.00;2017-02-08 00:00:00
30375566;49539;98200.00;2017-02-08 00:00:00
-61627161;46727;15000.00;2017-03-24 00:00:00
-61416073;51173;80000.00;2017-03-07 00:00:00
-61416428;51173;197007.48;2017-03-07 00:00:00
31181499;51173;4999.00;2017-03-07 00:00:00
31181551;51173;0.10;2017-03-07 00:00:00
-61315401;14116;23550.00;2017-02-28 00:00:00
-61317406;58971;46681.53;2017-02-28 00:00:00
-61318720;58971;46681.53;2017-02-28 00:00:00
-61232515;59232;40001.00;2017-02-20 00:00:00
-61232838;59232;40001.33;2017-02-20 00:00:00
31240050;50412;40000.00;2017-03-12 00:00:00
31240069;50412;0.10;2017-03-12 00:00:00
-61466247;50412;30000.00;2017-03-12 00:00:00
-61530802;34499;44718.29;2017-03-17 00:00:00
-61530714;34499;50000.00;2017-03-17 00:00:00
30244780;13491;10000.00;2017-01-26 00:00:00
-60351722;13491;10000.00;2017-01-26 00:00:00
-60197679;15515;300002.00;2017-01-12 00:00:00
-61495082;15006;250000.00;2017-03-14 00:00:00
-61529749;15006;297608.16;2017-03-14 00:00:00
-61435180;14133;200000.00;2017-03-09 00:00:00
-61435590;14133;250144.61;2017-03-09 00:00:00
30105637;20101;10000.00;2017-01-16 00:00:00
-60228814;20101;10000.00;2017-01-16 00:00:00
-60893922;1631;140723.17;2017-02-10 00:00:00
-60893650;1631;107000.00;2017-02-10 00:00:00
-60276407;4866;1000000.00;2017-01-19 00:00:00
-60299885;4866;1000000.00;2017-01-19 00:00:00
-61427023;5384;68000.00;2017-03-09 00:00:00
-61427047;5384;64940.00;2017-03-09 00:00:00
31176960;18188;0.10;2017-03-06 00:00:00
31176877;18188;4999.00;2017-03-06 00:00:00
-61400713;18188;145000.00;2017-03-06 00:00:00
